Foodmentum ,none,none
Antiwar.com ,none,none
usdeplorablesnews.com ,none,none
 My City Bikes,none,none
13th District GOP slate,Republican,New Jersey
18% of the American public,none,none
Stop 57 campaign,Organization,California
60 Plus Association,none,none
A Stronger Wisconsin,none,none
AARP,none,none
ACLU Foundation of Georgia,none,none
ACLU of North Carolina,Organization,North Carolina
AFL-CIO,none,none
AFL-CIO of New Jersey,Organization,New Jersey
 AFSCME,none,none
AFSCME People,none,none
Greg Abbott,Republican,Texas
Kareem Abdul-Jabbar,none,none
Huma Abedin,none,none
Chris Abele,none,none
Stacey Abrams,none,none
Accountability in Government,None,Florida
Steve Acenbrak,None,Georgia
Art Acevedo,None,Texas
ClearPath Action Fund,none,none
Anonymous Activist,None,Texas
Activist Mommy,none,none
Matt Adamczyk,none,none
Sandy Adams,Republican,Florida
Michael Adams,none,none
Sam Adams,Democrat,Oregon
Mike Adams,none,none
Cathie Adams,Republican,Texas
John Adcock,Republican,North Carolina
Janet Adkins,Republican,Florida
Steve Adler,Democrat,Texas
Shelley Adler,none,none
Florida Agency for Health Care Administration,None,Florida
Yolanda Adrean,None,Georgia
Steve Adubato Jr.,Democrat,New Jersey
Advancing Wisconsin,none,none
Ben Affleck,none,none
Citizens Against Rail Taxes,None,Tex
Marisha Agana,Republican,Ohio
Larry Ahern,Republican,Florida
Mahmoud Ahmadinejad,none,none
Clay Aiken,Democrat,North Carolina
Doug Ainge,Democrat,Oregon
Edith Ajello,Democrat,Rhode Island
Akbar Al Baker,None,Qatar
Al Jazeera America,none,none
David Alameel,Democrat,Texas
Sal Albanese,Democrat,New York
John Albers,none,none
Madeleine Albright,Democrat,"Washington, D.C."
Luis Alejo,Democrat,California
J.D. Alexander,Republican,Florida
Keith Alexander,none,none
Lamar Alexander,none,none
Harry Alford,none,none
Dennis Algiere,Republican,Rhode Island
Travis Allen,Republican,California
George Allen,Republican,Virginia
Ken Allen,none,none
Rick Allen,Republican,Georgia
Diane Allen,Republican,New Jersey
Allen Alley,Republican,Oregon
Alliance Defending Freedom,none,none
Alliance for America's Future,None,Virginia
Alliance for Retired Americans,Organization,"Washington, D.C."
Ernest Almonte,Independent,Rhode Island
Roberto Alonzo,Democrat,Texas
AlternativePAC,none,none
Thad Altman,Republican,Florida
Carol Alvarado,Democrat,Texas
Amalgamated Transit Union,none,none
Justin Amash,Republican,Michigan
Jeff Amason,Libertarian,Georgia
AmeriPAC,none,none
Oxfam America,none,none
America Today,none,none
America's Health Insurance Plans,None,"Washington, D.C."
America's Natural Gas Alliance,none,none
American Action Network,none,none
American Beverage Association,Organization,"Washington, D.C."
American Bird Conservancy,None,Virginia
American Bridge 21st Century,none,none
American Civil Liberties Union,Organization,the United States
American Civil Liberties Union of Florida,None,Florida
American Civil Liberties Union of New Jersey,none,none
American Commitment,none,none
American Crossroads,none,none
American Energy Alliance,none,none
American Federation for Children,none,none
American Future Fund,none,none
American International Group,none,none
