False,Says Filipino news organizations are part of a plot to discredit President Rodrigo Duterte and destabilize his government.,The Manila Times,none,0,1,0,0,0
False,"Says one year ago, ""no cities in the South had guaranteed paid sick days.""",Greg Casar,None,0,1,0,1,0
False,Photo shows a sea of red-clad education advocates covering most of the Halifax Mall.,Mark Jewell,Labor leader,0,1,0,0,0
False,"Quotes President Jimmy Carter as saying ""If you don’t want your tax dollars to help the poor, then stop saying you want a country based on Christian values, because you don’t.""",Facebook posts,none,17,46,16,13,67
False,"""We suspended the (Foxconn) work around October, November last year because the weather there was snowy and icy cold.""",Terry Gou,none,0,1,0,0,0
Half-True,"""One-fourth of the vehicles on (Missouri’s) highways are defective.""",Dave Muntzel,Republican,0,0,1,0,0
Half-True,"""When comparing state by state, the data clearly demonstrates that over 20 other states with (Prescription Drug Monitoring Programs) are still substantially worse off than Missouri in terms of curbing the effects of opioid abuse.""",Cindy O’Laughlin,Republican,0,0,1,0,0
True,"""You've got millions of families paying 40, 50, 60% of their limited incomes to put a roof over their heads.""",Bernie Sanders,Independent,21,15,32,46,0
Mostly True,"""We now have longitudinal data that shows that children born around Superfund sites have dramatically higher rates of birth defects, dramatically higher rates of autism.""",Cory Booker,Democrat,1,6,4,10,0
Pants on Fire!,"Says Joe Biden said, ""the Germans bombed Pearl Harbor.""",Viral image,none,10,38,1,3,72
False,"""Before 1973 it was illegal in the U.S. to profit off of health care.""",Bloggers,none,29,99,19,16,302
Pants on Fire!,Says Hillary Clinton was to be indicted over the Whitewater scandal four days before documents related to the case were destroyed in the Oklahoma City bombing.,Facebook posts,none,17,46,16,13,67
Pants on Fire!,"Says Facebook is now a ""public entity"" that will be able to ""use your photos"" and ""information"" unless you post a statement declining your permission.",Facebook posts,none,17,46,16,13,67
True,"Speaking of the financial crisis that gained traction in 2007, ""I talked about it to anyone who would listen, a crisis is coming.""",Elizabeth Warren,Democrat,0,0,7,6,0
True,"""The enumeration clause speaks to the count of every individual, and not just Americans, not just citizens.""",Letitia James,Democrat,0,0,0,0,0
Mostly False,"State Sen. Emmett Hanger ""has voted for the three largest tax increases - proposed tax increases - in Virginia history.""",Tina Freitas,Republican,1,0,0,0,0
Half-True,"""We have an unemployment (rate of) 1.5 in Boone County, and we can’t find enough workers.""",Cheri Toalson Reisch,Republican,0,0,1,0,0
False,Says Mitch McConnell was cured of polio when he was a child by government-funded care and now he’s trying to take that same care away from millions of Americans,Facebook posts,none,17,46,16,13,67
Mostly True,"""Half the country today has either diabetes or prediabetes.""",Tim Ryan,Democrat,0,0,0,8,1
Half-True,"""We’re in a situation right now where 80% of the country is living paycheck to paycheck.""",Marie Newman,none,0,0,1,0,0
Mostly True,"""One out of 4 diabetes patients in our country cannot afford their insulin.""",Kamala Harris,Democrat,2,4,3,8,0
True,"""All the ponds in Missouri for which we have data are causing groundwater contamination. … This is a statewide issue.""",Maxine Lipeles,None,0,0,0,0,0
True,"Says 74% of people in Texas are ""crammed into 4% of the land.""",Bennett Sandlin,Activist,0,0,0,0,0
Pants on Fire!,"Says New York Democrat Jenna Tull was recorded saying, ""Americans should be euthanized when they hit 70. They just become too dumb….and think of the money we’d save!""",Viral image,none,10,38,1,3,72
Pants on Fire!,"""Shakespeare said: ‘I always feel happy. You know why? Because I don’t expect anything from anyone. Expectations always hurt. Life is short. So love your life. Be Happy. & Keep smiling.""",Viral image,none,10,38,1,3,72
